 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
13 ноября,пт,"Пробный ЕГЭ по информатике/биологии 4.13, 4.2 16:00; 
МЭ ВсОШ химия",,,Мат. колл 16:30 2.6,,,,,,,,,Мат.колл. 16:00 2.5,,,,,Мат.колл. 16:00 2.10 (кроме 408),,,,,Мат.колл. 18:00 2.10,,,,14 ноября,пт
14 ноября,сб,,,Мат.колл 16:30 2.6,,,,,,,,,Мат.колл. 16:00 2.10,,,,,,"Мат.колл. гр. 408, 10:20 3.3",,,,,,,,,15 ноября,сб
15 ноября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,16 ноября,вс
16 ноября,пн,МЭ ВсОШ литература,,,,,,,,,,,,,,,,Мат. кол. 16:00 2.8,,,,,,,Мат. кол. 16:00 2.8,,,17 ноября,пн
17 ноября,вт,МЭ ВсОШ география,,,,,,,,Мат.кол. 16:00 4.12,,,,,Мат.колл. 16:00 4.12,,,,,,,,,,,,,18 ноября,вт
18 ноября,ср,"МЭ ВсОШ немецкий, французский",,,,,,,,,,,,,,,,,,,,,,,,,,19 ноября,ср
19 ноября,чт,"МЭ ВсОШ немецкий, французский","Посвящение в ФМШата, 15:30, Актовый зал. Время проведения занятий на третьей паре сокращено  на 10 минут. ",,,,,,,,,,,,,,,,,,,,,,,,,20 ноября,чт
20 ноября,пт,МЭ ВсОШ труд,,Генеральная уборка в общежитиях,,,,,,,,,,,,,,,,,,,,,,,,21 ноября,пт
21 ноября,сб,,,Физ. задания. 16:00 5.3,,,,,,,,,,,,,,,,,,,,,,,,22 ноября,сб
22 ноября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,23 ноября,вс
23 ноября,пн,МЭ ВсОШ труд,,,,,,,,,,,,,,,,,,,,,,,,,,24 ноября,пн
24 ноября,вт,МЭ ВсОШ биология,,,,,,,,,,,,,,,,,,,,,,,,,,25 ноября,вт
25 ноября,ср,МЭ ВсОШ история,,,,,,,,,,,,,,,,,,,,,,,,,,26 ноября,ср
26 ноября,чт,МЭ ВсОШ математика,,,,Мат.колл 16:00 3.14,,,,,,Мат. колл.16:00 2.4,,,,,,,,,,,,,,,,27 ноября,чт
27 ноября,пт,"Пробный ЕГЭ по физике 16:00 3.5, 3.6, 3.7, 3.8, 3.9 1.3;
МЭ ВсОШ ОБЗР",,,,,,,,,Мат. колл.16:00 2.4,,,,,,,,,,,,,,,,,28 ноября,пт
28 ноября,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,29 ноября,сб
29 ноября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,30 ноября,вс
30 ноября,пн,МЭ ВсОШ ОБЗР,,,,,,,,,,,,,,,,,,,,,,,,,,1 декабря,пн
1 декабря,вт,МЭ ВсОШ английский,,,,,,,,,,,,,,,,,,,,,,,,,,2 декабря,вт
2 декабря,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,3 декабря,ср
3 декабря,чт,"МЭ ВсОШ английский, экология",,,,,,,,,,,Биол. П.К. 16:00 1.3,,,,,,,,,,,,,,,4 декабря,чт
